f1,f2,f3,f4,f5,f6,f7,f8,m_or_b
2,0,2,2,1,0,3,15,0
1,1,2,2,1,1,1,2,0
1,1,3,2,3,2,3,11,0
1,1,1,2,1,1,0,2,0
3,5,13,3,10,9,9,9,0
1,2,2,2,1,1,2,0,0
3,7,2,2,8,7,5,24,0
1,8,2,4,6,5,4,0,0
1,0,2,2,0,0,1,0,0
1,2,9,2,3,2,3,16,0
1,0,1,2,0,0,0,0,0
3,2,1,2,0,0,0,0,0
4,5,2,3,5,4,5,8,0
9,38,51,16,21,20,10,36,0
1,2,1,2,4,3,2,2,0
2,3,1,2,4,3,3,12,0
1,2,6,5,2,2,3,0,0
4,6,1,2,9,8,6,19,0
2,3,3,2,5,4,3,25,0
1,2,6,2,6,5,6,24,0
1,3,1,2,9,9,7,0,0
3,12,4,7,9,8,10,30,0
1,3,3,4,5,4,3,8,0
1,1,1,0,1,1,1,0,0
1,0,1,2,0,0,0,0,0
4,4,6,2,5,4,9,21,0
4,3,9,2,2,2,2,2,0
5,8,6,2,9,8,11,48,0
4,2,4,2,5,4,5,17,0
5,7,9,5,12,11,9,128,0
1,7,3,2,6,5,5,26,0
1,5,2,2,5,4,7,4,0
1,0,2,2,2,2,1,22,0
4,7,14,6,7,6,7,60,0
3,2,2,2,1,1,1,8,0
3,5,1,2,5,4,3,6,0
1,0,1,2,0,0,0,3,0
3,2,11,5,6,5,2,16,0
3,4,1,2,4,3,1,11,0
5,7,2,2,10,9,7,45,0
1,0,1,4,0,0,0,0,0
2,1,3,2,3,2,3,13,0
1,0,3,2,0,0,0,0,0
1,0,1,2,1,1,0,0,0
2,2,1,2,3,2,2,19,0
3,3,5,5,3,2,4,52,0
2,2,3,2,5,4,5,20,0
1,3,3,4,4,3,4,18,0
4,4,13,2,6,5,3,30,0
6,5,17,4,5,4,3,0,0
2,4,5,2,5,4,3,8,0
1,10,6,2,5,4,5,9,0
5,3,10,3,2,2,4,0,0
7,38,10,12,18,17,13,4,0
1,1,3,2,3,2,5,22,0
4,4,2,3,5,4,8,30,0
4,9,9,4,8,7,5,23,0
2,0,1,2,0,0,2,0,0
4,7,5,3,12,11,9,53,0
1,1,1,2,1,1,0,4,0
3,5,2,4,6,6,5,9,0
6,10,11,6,7,6,11,64,0
1,2,2,2,2,2,2,0,0
4,5,4,3,5,4,3,21,0
3,5,6,2,7,6,6,29,0
1,0,5,3,2,2,1,0,0
3,0,1,2,1,1,1,2,0
1,0,3,3,1,0,1,0,0
1,1,2,2,4,3,2,11,0
7,15,9,7,11,10,7,19,0
1,0,1,2,0,0,0,0,0
1,1,1,2,3,2,2,11,0
3,5,13,3,10,9,9,9,0
5,8,5,2,11,10,7,43,0
2,0,0,0,0,0,1,0,0
1,1,1,2,1,1,2,6,0
6,16,19,2,7,7,5,31,0
5,7,9,1,6,5,5,21,0
8,23,6,4,13,12,11,83,0
1,1,1,5,1,0,3,0,0
4,4,15,4,5,4,2,2,0
5,5,10,4,4,4,7,3,0
2,2,3,2,4,3,2,15,0
1,1,1,2,1,1,0,2,0
3,2,21,2,3,2,2,11,0
9,21,1,2,8,8,5,0,0
2,2,10,2,4,3,4,13,0
2,6,12,7,6,5,8,10,0
7,9,5,3,5,4,2,176,0
2,4,3,2,8,7,7,9,0
3,6,1,2,5,4,3,15,0
1,0,5,2,0,0,1,0,0
3,8,2,2,9,8,10,32,0
1,5,15,2,7,6,4,72,0
4,5,7,4,5,4,4,17,0
1,2,1,2,6,6,3,0,0
4,5,1,2,5,4,2,11,0
3,5,1,2,6,5,3,6,0
3,5,5,2,5,5,4,4,0
5,8,5,2,11,10,7,43,0
2,4,6,4,5,4,5,69,0
10,12,2,3,8,7,7,13,0
2,5,6,3,4,3,2,5,0
1,5,1,2,7,6,6,15,0
1,1,2,2,12,11,6,15,0
1,1,0,1,1,1,0,0,0
2,1,8,2,2,1,0,6,0
2,1,2,2,2,2,3,0,0
1,2,1,2,13,12,8,51,0
2,0,2,2,1,1,1,0,0
8,9,3,4,5,4,6,48,0
1,0,3,2,0,0,0,0,0
1,2,1,2,1,1,0,2,0
1,1,7,3,3,2,1,10,0
1,1,1,2,0,0,1,0,0
2,4,12,4,8,7,6,25,0
6,10,37,5,7,6,7,63,0
5,3,3,2,4,3,5,8,0
5,5,2,2,7,6,4,4,0
2,3,6,3,7,6,5,21,0
1,1,1,2,1,1,1,11,0
3,3,2,3,3,2,3,6,0
1,4,1,2,6,5,6,29,0
6,7,3,5,5,4,2,23,0
2,2,1,2,5,5,5,2,0
3,5,8,5,5,4,7,73,0
2,3,2,2,3,3,2,0,0
1,0,1,2,0,0,0,2,0
3,1,0,0,2,2,1,4,0
1,2,1,2,1,1,0,2,0
1,2,1,2,3,2,2,19,0
1,2,8,3,2,1,2,9,0
1,0,0,3,0,0,0,2,0
4,11,24,7,7,6,6,46,0
4,5,8,2,6,5,4,17,0
4,3,8,4,3,2,4,19,0
3,13,27,24,11,10,7,14,0
2,3,1,2,5,4,4,20,0
5,10,1,2,4,4,3,11,0
2,0,6,5,0,0,0,0,0
1,1,1,2,1,1,0,2,0
1,4,7,2,6,5,7,12,0
1,2,1,2,2,2,2,6,0
1,3,4,2,6,5,5,80,0
7,9,5,5,5,4,6,44,0
7,4,8,2,4,4,3,10,0
